corpus_name,target_child_name,audio_file
Rollins,AF,af06
Rollins,AF,af09
Rollins,AF,af12
Rollins,AF,af18
Rollins,AF,af22
Rollins,AK,ak06
Rollins,AK,ak09
Rollins,AK,al06
Rollins,AL,al09
Rollins,AL,al12
Rollins,AL,al18
Rollins,AL,al22
Rollins,AL,al30
Rollins,AW,aw06
Rollins,AX,ax06
Rollins,BT,bt06
Rollins,CB,cb06
Rollins,CB,cb09
Rollins,CB,cb12
Rollins,CB,cb18
Rollins,CB,cb30
Rollins,CC,cc06
Rollins,CC,cc09
Rollins,CC,cc12
Rollins,CC,cc18
Rollins,CC,cc22
Rollins,CC,cc30
Rollins,CD,cd06
Rollins,CD,cd09
Rollins,CH,ch06
Rollins,CH,ch09
Rollins,CH,ch12
Rollins,CH,ch18
Rollins,CK,ck06
Rollins,CK,ck09
Rollins,CK,ck12
Rollins,CK,ck18
Rollins,CK,ck30
Rollins,CL,cl06
Rollins,CM,cm06
Rollins,CM,cm09
Rollins,CM,cm12
Rollins,CM,cm18
Rollins,CM,cm22
Rollins,CM,cm30
Rollins,CR,cr06
Rollins,CR,cr09
Rollins,CR,cr12
Rollins,CR,cr18
Rollins,CR,cr22
Rollins,CX,cx06
Rollins,CX,cx09
Rollins,CX,cx12
Rollins,CX,cx18
Rollins,CY,cy06
Rollins,CY,cy09
Rollins,CY,cy12
Rollins,CY,cy18
Rollins,CY,cy22
Rollins,CY,cy30
Rollins,DI,di06
Rollins,DI,di09
Rollins,DI,di12
Rollins,DI,di18
Rollins,DI,di22
Rollins,DI,di30
Rollins,DS,ds06
Rollins,DS,ds09
Rollins,DS,ds12
Rollins,DS,ds18
Rollins,DS,ds22
Rollins,DS,ds30
Rollins,EB,eb09
Rollins,EB,eb12
Rollins,ET,et06
Rollins,ET,et09
Rollins,GB,gb06
Rollins,GB,gb09
Rollins,GB,gb12
Rollins,GB,gb18
Rollins,GB,gb22
Rollins,GB,gb30
Rollins,GP,gp06
Rollins,GR,gr09
Rollins,HB,hb22
Rollins,HC,hc06
Rollins,HC,hc09
Rollins,HC,hc12
Rollins,HC,hc18
Rollins,HC,hc22
Rollins,HC,hc30
Rollins,HP,hp06
Rollins,HP,hp09
Rollins,HP,hp12
Rollins,HP,hp18
Rollins,HP,hp22
Rollins,HP,hp30
Rollins,IM,im06
Rollins,IM,im09
Rollins,IM,im12
Rollins,IM,im18
Rollins,IM,im30
Rollins,JB,jb06
Rollins,JC,jc06
Rollins,JG,jg09
Rollins,JG,jg12
Rollins,JP,jp06
Rollins,JP,jp09
Rollins,JP,jp12
Rollins,JP,jp18
Rollins,JP,jp22a
Rollins,JP,jp22b
Rollins,JP,jp30
Rollins,JW,jw03
Rollins,JW,jw06
Rollins,JW,jw09
Rollins,JW,jw12a
Rollins,JW,jw12b
Rollins,JW,jw18
Rollins,JW,jw30
Rollins,KC,kc06
Rollins,KC,kc09
Rollins,KC,kc12
Rollins,KK,kk06
Rollins,KP,kp06
Rollins,MA,ma06
Rollins,MA,ma09
Rollins,MA,ma12
Rollins,MA,ma18
Rollins,MA,ma22
Rollins,MA,ma30
Rollins,ME,me03
Rollins,ME,me06
Rollins,ME,me09
Rollins,ME,me12
Rollins,ME,me18
Rollins,ME,me30
Rollins,MM,mm06
Rollins,MM,mm09
Rollins,MN,mn06
Rollins,NB,nb06
Rollins,NB,nb09
Rollins,NB,nb12
Rollins,NJ,nj06
Rollins,NJ,nj09
Rollins,NJ,nj12
Rollins,NJ,nj18
Rollins,NJ,nj22
Rollins,PA,pa06
Rollins,PA,pa09
Rollins,PL,pl06
Rollins,PL,pl09
Rollins,PM,pm06
Rollins,PS,ps06
Rollins,PS,ps09
Rollins,RO,ro06
Rollins,RS,rs06
Rollins,RS,rs09
Rollins,SA,sa06
Rollins,SA,sa09
Rollins,SB,sb06
Rollins,SC,sc06
Rollins,SC,sc09
Rollins,SC,sc12
Rollins,ST,st06
Rollins,ST,st09
Rollins,ST,st12
Rollins,ST,st18
Rollins,ST,st22
Rollins,ST,st30
Rollins,SW,sw06
Rollins,SW,sw09
Rollins,SW,sw12
Rollins,SX,sx06
Rollins,SX,sx09
Rollins,SX,sx12
Rollins,SX,sx18
Rollins,SX,sx30
Rollins,TE,te06
Rollins,TE,te09
Rollins,TE,te12
Rollins,TE,te18
Rollins,TE,te30
Rollins,TJ,tj06
Rollins,TL,tl06
Rollins,TT,tt06
Rollins,TT,tt09
Rollins,TT,tt12
Rollins,TT,tt18
Rollins,TT,tt22
Rollins,TT,tt30
Rollins,TX,tx06
Rollins,TX,tx09
Rollins,WR,wr06
Rollins,WW,ww06
Rollins,ZM,zm06
Rollins,ZM,zm09
Rollins,ZM,zm12
Rollins,ZM,zm18
Rollins,ZM,zm22
Rollins,ZM,zm30
Rollins,ZX,zx09
Rollins,ZX,zx12