word,aoa,babiness,pair,form,childes_freq,exclude
baa baa,16,5.6875,baa_sheep,ids,117,y
sheep,23,3.4,baa_sheep,ads,1762,y
bird,17,2.375,birdie_bird,ads,3995,
birdie,NA,NA,birdie_bird,ids,834,
blanket,21,8.916666667,blankie_blanket,ads,1499,
blankie,NA,NA,blankie_blanket,ids,386,
boo boo,19,NA,booboo_cut,ids,207,
cut,NA,NA,booboo_cut,ads,3398,
bunny,21,2.8,bunny_rabbit,ids,3344,
rabbit,NA,NA,bunny_rabbit,ads,1999,
choo choo,19,8.454545455,choochoo_train,ids,388,
train,21,3.545454545,choochoo_train,ads,4124,
dad,NA,NA,daddy_dad,ads,2733,
daddy,16,9,daddy_dad,ids,16573,
din din,NA,NA,dindin_dinner,ids,6,y
dinner,24,4.18181818,dindin_dinner,ads,2322,y
dog,16,3.1,doggy_dog,ads,6618,
doggy,NA,NA,doggy_dog,ids,4291,
doll,22,7.133333333,dolly_doll,ads,2158,
dolly,NA,NA,dolly_doll,ids,1425,
duck,17,4.1,duckie_duck,ads,3950,
duckie,NA,NA,duckie_duck,ids,756,
frog,22,2.909090909,froggy_frog,ads,1985,
froggy,NA,NA,froggy_frog,ids,497,
horse,20,2,horsey_horse,ads,3490,
horsey,NA,NA,horsey_horse,ids,1927,
cat,18,2,kitty_cat,ads,6073,
kitty,18,4.1,kitty_cat,ids,4355,
mom,NA,NA,mommy_mom,ads,8660,
mommy,16,8.454545455,mommy_mom,ids,32443,
goodnight,NA,NA,nightnight_goodnight,ads,521,
night night,18,NA,nightnight_goodnight,ids,298,
owie,19,7.5,owie_scrape,ids,180,
scrape,NA,NA,owie_scrape,ads,67,
pig,21,1.416666667,piggy_pig,ads,2609,
piggy,NA,NA,piggy_pig,ids,1361,
bathroom,24,NA,potty_bathroom,ads,413,
potty,21,6.909090909,potty_bathroom,ids,935,
stomach,NA,NA,tummy_stomach,ads,428,
tummy,22,7.166666667,tummy_stomach,ids,988,
car,17,2.083333333,vroomvroom_truck,ads,11153,y
truck,19,3.18181818,vroomvroom_truck,ads,5404,y
vroom vroom,17,5.5,vroomvroom_truck,ids,169,y